title,id,org_type,pageLink,logo,name_fa,name_en,name_short,location,post_location,internetAddress,contact,phone,about,expertise,history,manifest,coc,estimationOfMembers,political_orientation,markForEdit,social_telegram,social_facebook,social_youtube,social_x,social_instagram,created_at,updated_at,mark_for_delete,delete_reason,deleted_at,headerBg
Be-Name-Mahsa,59,ORG,/op/Be-Name-Mahsa,logos/59.png,,Be Name Mahsa,,IT,,https://benamemahsa.it/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بلک-بلاک,178,گوناگون,/op/بلک-بلاک,logos/temporary.png,بلک بلاک,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
متحد-برای-ایران,22,ORG,/op/متحد-برای-ایران,logos/22.png,متحد برای ایران,United for Iran,,US,,https://united4iran.org/fa/,media@united4iran.orginfo@united4iran.org,,"United for Iran (U4I) is a non-profit organization founded and run by Iranian activists and former political prisoners. It's dedicated to advancing civil liberties and human rights in Iran through various initiatives focused on empowering Iranian civil society, supporting freedom movements, and building people power.","Strengthening social movements, freedom fighters, civil society, marginalized communities and ordinary people of Iran in the way of collective advancement of social equality and human rights.",Global Day of Action (2009),,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
انجمن-بین-المللی-پزشکان-و-ارائه-دهندگان-مراقبت-های-بهداشتی-ایران,4,ORG,/op/انجمن-بین-المللی-پزشکان-و-ارائه-دهندگان-مراقبت-های-بهداشتی-ایران,logos/4.png,انجمن بین المللی پزشکان و ارائه دهندگان مراقبت های بهداشتی ایران,International Iranian Physicians and Healthcare providers Association,,US,,https://iipha.org/fa/%d8%ae%d8%a7%d9%86%d9%87/,info@iipha.org,,,Healthcare,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
DADBAN,75,H_ORG,/op/DADBAN,logos/75.png,,DADBAN,,TR,,https://dadban.info/ ,https://dadban.info/about-us/,,,"Dadban' is an effort by a group of lawyers and jurists that started working in November 1400. The main goal of Dodban is to provide legal advice to citizens who work in the field of human rights in any way. In addition to counseling, Dodban produces educational content to inform citizens. It should be mentioned that Dodban does not have any commercial activity and offers all its services for free. Dadban is only a legal and educational base and is not affiliated with any political organization and does not follow any political line of thought.",,,,,,,,,,https://twitter.com/dadban4,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کانون-خاوران,106,ORG,/op/کانون-خاوران,logos/temporary.png,کانون خاوران,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
رد-انون-uav,179,گوناگون,/op/رد-انون-uav,logos/temporary.png,رد انون uav,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
عدالت-ps752,24,ORG,/op/عدالت-ps752,logos/24.png,عدالت ps752,PS752 Justice,,CA,,https://www.ps752justice.com/,"pmrc@ps752justice.com, contact@ps752justice.com",,"represents the Association of Families of Flight PS752 Victims, a non-profit organization dedicated to seeking justice for the victims of Ukraine International Airlines Flight 752, which was tragically shot down by the Iranian Revolutionary Guard Corps (IRGC) in January 2020.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
تشکل-انقلاب-زنانه,140,ORG,/op/تشکل-انقلاب-زنانه,logos/temporary.png,تشکل انقلاب زنانه,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کانون-حامیان-عدالت,105,ORG,/op/کانون-حامیان-عدالت,logos/temporary.png,کانون حامیان عدالت,The Center for Supporters of Justice,,,,https://www.youtube.com/@user-nh7sc8kn5p/featured,,,"The Center for Supporters of Justice is a non-governmental organization that works with the aim of protecting the rights of citizens and expanding justice in society. By providing free legal services to people in need, holding educational and informational workshops in the field of citizenship rights, this center tries to increase public awareness in this field and help citizens to defend their rights.The Center for Supporters of Justice is an independent and non-profit organization that provides its budget through public donations and charities. Relying on its volunteer and expert forces, this center tries to help achieve justice in the society and respect the rights of citizens.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
تشکل-رنگین-کمانان-ایرانی,141,ORG,/op/تشکل-رنگین-کمانان-ایرانی,logos/temporary.png,تشکل رنگین کمانان ایرانی,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
"DONNA,-LETTA,-LIBERTA---GENOVA",62,ORG,"/op/DONNA,-LETTA,-LIBERTA---GENOVA",logos/62.png,,"DONNA, LETTA, LIBERTA - GENOVA",,IT,,,-,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ندای-دانشگاهیان-آزادی‌خواه-ایران-(ندا),10,ORG,/op/ندای-دانشگاهیان-آزادی‌خواه-ایران-(ندا),logos/10.png,ندای دانشگاهیان آزادی‌خواه ایران (ندا),,,,,ندای دانشگاهیان آزادی‌خواه ایران (ندا) (@NedaIran2022) / Twitter,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بریزبن-برای-ایران,65,ORG,/op/بریزبن-برای-ایران,logos/65.png,بریزبن برای ایران,,,AUS,,https://www.instagram.com/brisbane_for_iran,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-دفاع-از-حقوق-بشر-در-ایران-–-اتریش,110,ORG,/op/کمیته-دفاع-از-حقوق-بشر-در-ایران-–-اتریش,logos/temporary.png,کمیته دفاع از حقوق بشر در ایران – اتریش,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زنان-فمنیست-و-کوییر-ایرانی-در-تورنتو,99,ORG,/op/زنان-فمنیست-و-کوییر-ایرانی-در-تورنتو,logos/temporary.png,زنان فمنیست و کوییر ایرانی در تورنتو,Iranian feminist and queer women in Toronto,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
zza-group,181,گوناگون,/op/181,logos/temporary.png,,zza-group,,,,None,,,,,,,,,,,,,,https://x.com/zza_group,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-زنان-ایرانی-انتاریو,15,ORG,/op/سازمان-زنان-ایرانی-انتاریو,logos/15.png,سازمان زنان ایرانی انتاریو,Iranian Women's Organization Ontario,,Canada,"1761 Sheppard Ave. East, Ground FloorToronto, ON M2J 0A5",https://iwontario.com/,info@iwontario.com,,"The Iranian Women's Organization of Ontario (IWOO) is a non-profit organization based in Toronto, Canada, dedicated to empowering and supporting Farsi-speaking women and their families.","Support, empower, and unite women.","Established in 1989, IWOO has evolved from a volunteer-based association to a professionally managed organization with a clear strategic direction.",,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-دفاع-از-زندانیان-سیاسی-ایران--دانمارک,112,ORG,/op/کمیته-دفاع-از-زندانیان-سیاسی-ایران--دانمارک,logos/temporary.png,کمیته دفاع از زندانیان سیاسی ایران- دانمارک,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Roja.-Paris,159,ORG,/op/Roja.-Paris,logos/temporary.png,,Roja. Paris,,,,https://www.instagram.com/roja.paris/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ایران-آزاد-PDX,40,ORG,/op/ایران-آزاد-PDX,logos/40.png,ایران آزاد PDX,Free Iran PDX,,"Oregon, USA",,https://www.freeiranpdx.org/,info@freeiranpdx.com,,"Free Iran PDX is a grassroots movement based in Portland, Oregon, dedicated to supporting the ongoing fight for freedom and human rights in Iran.              Solidarity with the Iranian People: They stand in solidarity with Iranians protesting against the oppressive regime, particularly highlighting the 'Woman, Life, Freedom' movement sparked by the death of Mahsa Amini.Advocacy and Awareness: They raise awareness about the human rights abuses in Iran and advocate for change through various actions.Community Building: They provide a platform for the Iranian diaspora in Portland to connect, organize, and express their support for the movement in Iran.","Free Iran PDX was created by a group of devoted volunteers after the tragic death of Mahsa Amini to spread awareness and create community support for fellow Iranians living in Portland, OR as well as across the country",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
J-cocreation-space,155,ORG,/op/J-cocreation-space,logos/temporary.png,,J cocreation space,,based in DEwith international members,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
brdz1401,182,گوناگون,/op/182,logos/temporary.png,,brdz1401,,,,None,,,,,,,,,,,,,,https://x.com/brdz1401,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمک-های-اولیه-ایران,45,ORG,/op/کمک-های-اولیه-ایران,logos/45.png,کمک های اولیه ایران,FIRST AID IRAN,,DE,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-صدای-زنان-برای-تغییر,126,ORG,/op/سازمان-صدای-زنان-برای-تغییر,logos/temporary.png,سازمان صدای زنان برای تغییر,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Iranians-of-Berlin,168,ORG,/op/Iranians-of-Berlin,logos/temporary.png,,Iranians of Berlin,,"Berlin, DEmany",,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
